2025-12-05T00:54:07.461911 s1发送0个包, 计数器编号为: 100
2025-12-05T00:54:07.461911 s2收到0个包, 计数器编号为: 100
2025-12-05T00:54:07.466756 s2发送0个包, 计数器编号为: 101
2025-12-05T00:54:07.466756 s1收到0个包, 计数器编号为: 101
2025-12-05T00:54:09.486324 s1发送0个包, 计数器编号为: 100
2025-12-05T00:54:09.486324 s2收到0个包, 计数器编号为: 100
2025-12-05T00:54:09.489736 s2发送0个包, 计数器编号为: 101
2025-12-05T00:54:09.489736 s1收到0个包, 计数器编号为: 101
2025-12-05T00:54:11.508337 s1发送0个包, 计数器编号为: 100
2025-12-05T00:54:11.508337 s2收到0个包, 计数器编号为: 100
2025-12-05T00:54:11.512683 s2发送0个包, 计数器编号为: 101
2025-12-05T00:54:11.512683 s1收到0个包, 计数器编号为: 101
2025-12-05T00:54:13.533575 s1发送0个包, 计数器编号为: 100
2025-12-05T00:54:13.533575 s2收到0个包, 计数器编号为: 100
2025-12-05T00:54:13.537563 s2发送0个包, 计数器编号为: 101
2025-12-05T00:54:13.537563 s1收到0个包, 计数器编号为: 101
2025-12-05T00:54:15.580208 s1发送2个包, 计数器编号为: 100
2025-12-05T00:54:15.580208 s2收到2个包, 计数器编号为: 100
2025-12-05T00:54:15.584528 s2发送2个包, 计数器编号为: 101
2025-12-05T00:54:15.584528 s1收到2个包, 计数器编号为: 101
2025-12-05T00:54:17.610377 s1发送2个包, 计数器编号为: 100
2025-12-05T00:54:17.610377 s2收到2个包, 计数器编号为: 100
2025-12-05T00:54:17.614417 s2发送2个包, 计数器编号为: 101
2025-12-05T00:54:17.614417 s1收到2个包, 计数器编号为: 101
2025-12-05T00:54:19.635909 s1发送2个包, 计数器编号为: 100
2025-12-05T00:54:19.635909 s2收到2个包, 计数器编号为: 100
2025-12-05T00:54:19.638619 s2发送2个包, 计数器编号为: 101
2025-12-05T00:54:19.638619 s1收到2个包, 计数器编号为: 101
2025-12-05T00:54:21.665453 s1发送4个包, 计数器编号为: 100
2025-12-05T00:54:21.665453 s2收到4个包, 计数器编号为: 100
2025-12-05T00:54:21.669774 s2发送4个包, 计数器编号为: 101
2025-12-05T00:54:21.669774 s1收到4个包, 计数器编号为: 101
2025-12-05T00:54:23.687108 s1发送4个包, 计数器编号为: 100
2025-12-05T00:54:23.687108 s2收到4个包, 计数器编号为: 100
2025-12-05T00:54:23.690642 s2发送4个包, 计数器编号为: 101
2025-12-05T00:54:23.690642 s1收到4个包, 计数器编号为: 101
2025-12-05T00:54:25.706564 s1发送4个包, 计数器编号为: 100
2025-12-05T00:54:25.706564 s2收到4个包, 计数器编号为: 100
2025-12-05T00:54:25.709801 s2发送4个包, 计数器编号为: 101
2025-12-05T00:54:25.709801 s1收到4个包, 计数器编号为: 101
2025-12-05T00:54:27.729860 s1发送4个包, 计数器编号为: 100
2025-12-05T00:54:27.729860 s2收到4个包, 计数器编号为: 100
2025-12-05T00:54:27.737561 s2发送4个包, 计数器编号为: 101
2025-12-05T00:54:27.737561 s1收到4个包, 计数器编号为: 101
2025-12-05T00:54:29.763113 s1发送0个包, 计数器编号为: 100
2025-12-05T00:54:29.763113 s2收到0个包, 计数器编号为: 100
2025-12-05T00:54:29.767693 s2发送0个包, 计数器编号为: 101
2025-12-05T00:54:29.767693 s1收到0个包, 计数器编号为: 101
2025-12-05T00:54:31.796158 s1发送0个包, 计数器编号为: 100
2025-12-05T00:54:31.796158 s2收到0个包, 计数器编号为: 100
2025-12-05T00:54:31.808077 s2发送0个包, 计数器编号为: 101
2025-12-05T00:54:31.808077 s1收到0个包, 计数器编号为: 101
2025-12-05T00:54:33.832169 s1发送0个包, 计数器编号为: 100
2025-12-05T00:54:33.832169 s2收到0个包, 计数器编号为: 100
2025-12-05T00:54:33.832693 s2发送0个包, 计数器编号为: 101
2025-12-05T00:54:33.832693 s1收到0个包, 计数器编号为: 101
